"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Graduated","Cum.Credit.Hrs","Cum.UG.Crs.GPA"
"254",8103469,202410,202510,"Accountancy","None","None",0,53,"4"
"255",8103883,202410,202410,"BA Major","None","None",0,16,"3.75"
"256",8103883,202410,202420,"BA Major","None","None",0,31,"3.44"
"257",8103883,202410,202510,"Business Economics","None","None",0,31,"3.44"
"258",8103899,202410,202410,"BA Major","None","None",0,19,"3.32"
"259",8103899,202410,202420,"BA Major","None","None",0,34,"3.26"
"260",8103899,202410,202510,"BA Major","None","None",0,34,"3.26"
"261",8104179,202410,202410,"BA Major","None","None",0,15,"2.2"
"262",8104179,202410,202420,"BA Major","None","None",0,29,"2.46"
"263",8104179,202410,202510,"BA Major","None","None",0,29,"2.46"
"264",8104279,202410,202410,"BA Major","None","None",0,17,"3.56"
"265",8104279,202410,202420,"BA Major","None","None",0,32,"3.42"
"266",8104279,202410,202510,"BA Major","None","None",0,32,"3.42"
"267",8104556,202410,202410,"BA Major","None","None",0,19,"3.64"
"268",8104556,202410,202420,"BA Major","None","None",0,36,"3.49"
"269",8104556,202410,202510,"BA Major","None","None",0,36,"3.49"
"270",8104584,202410,202410,"BA Major","None","None",0,47,"3.96"
"271",8104584,202410,202420,"Accountancy","None","None",0,62,"3.95"
"272",8104584,202410,202510,"Accountancy","None","None",0,62,"3.95"
"273",8104623,202410,202410,"BA Major","None","None",0,16,"3.45"
"274",8104623,202410,202420,"BA Major","None","None",0,30,"3.31"
"275",8104748,202410,202410,"BA Major","None","None",0,16,"3.5"
"276",8104748,202410,202420,"BA Major","None","None",0,34,"3.55"
"277",8104748,202410,202510,"Finance","None","None",0,34,"3.55"
"278",8104808,202410,202410,"BA Major","Supply Chain & Operations Mgmt","None",0,34,"3.91"
"279",8104808,202410,202420,"Supply Chain & Operations Mgmt","None","None",0,56,"3.9"
"280",8104808,202410,202510,"Supply Chain & Operations Mgmt","None","None",0,56,"3.9"
"281",8104842,202410,202410,"BA Major","None","None",0,21,"2.35"
"282",8104842,202410,202420,"BA Major","None","None",0,37,"2.81"
"283",8104842,202410,202510,"BA Major","None","None",0,37,"2.81"
"284",8104880,202410,202410,"BA Major","None","None",0,45,"3.8"
"285",8104880,202410,202420,"BA Major","None","None",0,60,"3.87"
"286",8104880,202410,202510,"BA Major","None","None",0,60,"3.87"
"287",8105202,202410,202410,"BA Major","None","None",0,15,"3.48"
"288",8105202,202410,202420,"BA Major","None","None",0,29,"3.3"
"289",8105202,202410,202510,"BA Major","None","None",0,29,"3.3"
"290",8105427,202410,202410,"Business Economics","None","None",0,17,"3.25"
"291",8105427,202410,202420,"Business Economics","None","None",0,34,"3.46"
"292",8105427,202410,202510,"BA Major","None","None",0,34,"3.46"
"293",8105588,202410,202410,"BA Major","None","None",0,16,"3"
"294",8105588,202410,202420,"CEC","None","None",0,30,"3.2"
"295",8105588,202410,202510,"CEC","None","None",0,34,"2.99"
"296",8105593,202410,202410,"BA Major","None","None",0,27,"3.85"
"297",8105593,202410,202420,"BA Major","None","None",0,43,"3.61"
"298",8105593,202410,202510,"BA Major","None","None",0,43,"3.61"
"299",8105742,202410,202410,"BA Major","None","None",0,52,"4"
"300",8105742,202410,202420,"BA Major","None","None",0,70,"3.93"
"301",8105742,202410,202510,"BA Major","None","None",0,70,"3.93"
"302",8105892,202410,202410,"BA Major","None","None",0,20,"3.38"
"303",8105892,202410,202420,"BA Major","None","None",0,34,"3.15"
"304",8105892,202410,202510,"Accountancy","None","None",0,34,"3.15"
"305",8106266,202410,202410,"BA Major","None","None",0,13,"1.93"
"306",8106266,202410,202420,"BA Major","None","None",0,24,"2.18"
"307",8106266,202410,202510,"BA Major","None","None",0,24,"2.18"
"308",8107035,202410,202410,"BA Major","None","None",0,14,"2.2"
"309",8107035,202410,202420,"BA Major","None","None",0,36,"2.99"
"310",8107035,202410,202510,"BA Major","None","None",0,36,"2.99"
"311",8107364,202410,202410,"BA Major","None","None",0,27,"3.84"
"312",8107364,202410,202420,"BA Major","None","None",0,43,"3.85"
"313",8107379,202410,202410,"CAS","None","None",0,46,"4"
"314",8107379,202410,202420,"CAS","None","None",0,62,"4"
