"","Student ID","Gender","First Generation Indicator","Term Code","Term UG Crs GPA","Cum UG Crs GPA"
"254",8206175,"Male","Not First Generation College Stdnt","202420",2.92,2.78
"255",8206175,"Male","Not First Generation College Stdnt","202510",NA,2.78
"256",8207043,"Male","Not First Generation College Stdnt","202210",3.22,3.22
"257",8207043,"Male","Not First Generation College Stdnt","202220",3.55,3.39
"258",8207043,"Male","Not First Generation College Stdnt","202310",3.22,3.33
"259",8207043,"Male","Not First Generation College Stdnt","202320",2.58,3.13
"260",8207043,"Male","Not First Generation College Stdnt","202410",2.53,3.01
"261",8207043,"Male","Not First Generation College Stdnt","202420",NA,3.01
"262",8207043,"Male","Not First Generation College Stdnt","202510",NA,3.01
"263",8208211,"Female","Not First Generation College Stdnt","202210",3.51,3.51
"264",8208211,"Female","Not First Generation College Stdnt","202220",3.85,3.65
"265",8208211,"Female","Not First Generation College Stdnt","202310",3.6,3.63
"266",8208211,"Female","Not First Generation College Stdnt","202320",3.7,3.65
"267",8208211,"Female","Not First Generation College Stdnt","202410",3.74,3.67
"268",8208211,"Female","Not First Generation College Stdnt","202420",3.74,3.68
"269",8208211,"Female","Not First Generation College Stdnt","202510",NA,3.68
"270",8218558,"Female","Not First Generation College Stdnt","202210",3.58,3.58
"271",8218558,"Female","Not First Generation College Stdnt","202220",3.86,3.75
"272",8218558,"Female","Not First Generation College Stdnt","202310",3.67,3.74
"273",8218558,"Female","Not First Generation College Stdnt","202320",3.57,3.72
"274",8218558,"Female","Not First Generation College Stdnt","202410",3.52,3.69
"275",8218558,"Female","Not First Generation College Stdnt","202420",3.17,3.64
"276",8218558,"Female","Not First Generation College Stdnt","202510",NA,3.62
"277",8223835,"Male","Not First Generation College Stdnt","202110",3.82,3.82
"278",8223835,"Male","Not First Generation College Stdnt","202120",4,3.93
"279",8223835,"Male","Not First Generation College Stdnt","202210",3.74,3.86
"280",8223835,"Male","Not First Generation College Stdnt","202220",3.61,3.78
"281",8223835,"Male","Not First Generation College Stdnt","202310",2.86,3.59
"282",8223835,"Male","Not First Generation College Stdnt","202320",3.56,3.59
"283",8223835,"Male","Not First Generation College Stdnt","202410",3.46,3.57
"284",8223835,"Male","Not First Generation College Stdnt","202420",3.94,3.61
"285",8225982,"Female","Not First Generation College Stdnt","202210",3.72,3.72
"286",8225982,"Female","Not First Generation College Stdnt","202220",3.86,3.82
"287",8226272,"Male","Not First Generation College Stdnt","202110",3.52,3.52
"288",8226272,"Male","Not First Generation College Stdnt","202120",3.7,3.61
"289",8226272,"Male","Not First Generation College Stdnt","202210",3.48,3.57
"290",8226272,"Male","Not First Generation College Stdnt","202220",3.56,3.57
"291",8226272,"Male","Not First Generation College Stdnt","202310",3.72,3.6
"292",8226272,"Male","Not First Generation College Stdnt","202320",3.7,3.61
"293",8226272,"Male","Not First Generation College Stdnt","202410",4,3.67
"294",8226272,"Male","Not First Generation College Stdnt","202420",3.88,3.69
"295",8226515,"Male","Not First Generation College Stdnt","202110",3.95,3.95
"296",8226515,"Male","Not First Generation College Stdnt","202120",3.42,3.68
"297",8226515,"Male","Not First Generation College Stdnt","202210",3.9,3.74
"298",8226515,"Male","Not First Generation College Stdnt","202220",3.9,3.77
"299",8226515,"Male","Not First Generation College Stdnt","202310",3.01,3.65
"300",8226515,"Male","Not First Generation College Stdnt","202410",3.26,3.55
"301",8226515,"Male","Not First Generation College Stdnt","202420",2.88,3.43
"302",8226515,"Male","Not First Generation College Stdnt","202510",NA,3.24
"303",8226542,"Male","Not First Generation College Stdnt","202110",3.54,3.54
"304",8226542,"Male","Not First Generation College Stdnt","202120",3.68,3.6
"305",8226542,"Male","Not First Generation College Stdnt","202210",3.68,3.63
"306",8226542,"Male","Not First Generation College Stdnt","202220",3.56,3.61
"307",8226542,"Male","Not First Generation College Stdnt","202310",3.86,3.66
"308",8226542,"Male","Not First Generation College Stdnt","202320",3.94,3.7
"309",8226542,"Male","Not First Generation College Stdnt","202410",3.25,3.65
"310",8226542,"Male","Not First Generation College Stdnt","202420",3.46,3.63
"311",8230669,"Male","Not First Generation College Stdnt","202110",4,4
"312",8230669,"Male","Not First Generation College Stdnt","202120",3.82,3.91
"313",8230669,"Male","Not First Generation College Stdnt","202210",3.86,3.9
"314",8230669,"Male","Not First Generation College Stdnt","202220",3.94,3.9
"315",8230669,"Male","Not First Generation College Stdnt","202310",3.76,3.88
"316",8230669,"Male","Not First Generation College Stdnt","202320",3.88,3.88
"317",8230669,"Male","Not First Generation College Stdnt","202410",4,3.9
"318",8230669,"Male","Not First Generation College Stdnt","202420",3.95,3.91
"319",8230735,"Female","Not First Generation College Stdnt","202110",4,4
"320",8230735,"Female","Not First Generation College Stdnt","202120",3.71,3.81
"321",8230735,"Female","Not First Generation College Stdnt","202210",3.36,3.64
"322",8230735,"Female","Not First Generation College Stdnt","202220",3.55,3.62
"323",8230735,"Female","Not First Generation College Stdnt","202310",3.38,3.57
"324",8230735,"Female","Not First Generation College Stdnt","202320",3.45,3.55
"325",8230735,"Female","Not First Generation College Stdnt","202410",3.6,3.55
"326",8230735,"Female","Not First Generation College Stdnt","202420",3.35,3.53
"327",8231350,"Female","Not First Generation College Stdnt","202110",3.8,3.8
"328",8231350,"Female","Not First Generation College Stdnt","202120",3.88,3.85
"329",8231350,"Female","Not First Generation College Stdnt","202210",4,3.91
"330",8231350,"Female","Not First Generation College Stdnt","202220",3.48,3.81
"331",8231350,"Female","Not First Generation College Stdnt","202310",3.52,3.72
"332",8231350,"Female","Not First Generation College Stdnt","202320",3.66,3.73
"333",8231350,"Female","Not First Generation College Stdnt","202410",3.8,3.74
"334",8231350,"Female","Not First Generation College Stdnt","202420",3.37,3.7
"335",8231569,"Male","Not First Generation College Stdnt","202110",4,4
"336",8231569,"Male","Not First Generation College Stdnt","202120",3.5,3.7
"337",8231569,"Male","Not First Generation College Stdnt","202210",3.29,3.47
"338",8231569,"Male","Not First Generation College Stdnt","202220",3.5,3.48
"339",8231569,"Male","Not First Generation College Stdnt","202310",3,3.36
"340",8231569,"Male","Not First Generation College Stdnt","202320",3.66,3.45
"341",8231569,"Male","Not First Generation College Stdnt","202410",3.43,3.45
"342",8231569,"Male","Not First Generation College Stdnt","202420",4,3.54
"343",8231842,"Male","Not First Generation College Stdnt","202110",3.94,3.94
"344",8231842,"Male","Not First Generation College Stdnt","202120",2.74,3.34
"345",8231842,"Male","Not First Generation College Stdnt","202210",3,3.22
"346",8231842,"Male","Not First Generation College Stdnt","202220",2.66,3.13
"347",8231842,"Male","Not First Generation College Stdnt","202310",2.26,2.9
"348",8231842,"Male","Not First Generation College Stdnt","202320",2.35,2.82
"349",8231842,"Male","Not First Generation College Stdnt","202410",2.92,2.84
"350",8231842,"Male","Not First Generation College Stdnt","202420",2.54,2.8
"351",8232786,"Male","Not First Generation College Stdnt","202110",3.42,3.42
"352",8232786,"Male","Not First Generation College Stdnt","202120",2.78,3.05
"353",8232786,"Male","Not First Generation College Stdnt","202210",3.46,3.19
"354",8232786,"Male","Not First Generation College Stdnt","202220",3.32,3.22
"355",8232786,"Male","Not First Generation College Stdnt","202310",2.67,3.13
"356",8232786,"Male","Not First Generation College Stdnt","202320",3.1,3.12
"357",8232786,"Male","Not First Generation College Stdnt","202410",3.17,3.13
"358",8232786,"Male","Not First Generation College Stdnt","202420",3.26,3.15
"359",8233515,"Male","Not First Generation College Stdnt","202110",3.48,3.48
"360",8233515,"Male","Not First Generation College Stdnt","202120",2.86,3.18
"361",8233515,"Male","Not First Generation College Stdnt","202210",3.48,3.28
"362",8233515,"Male","Not First Generation College Stdnt","202220",3.04,3.22
"363",8233515,"Male","Not First Generation College Stdnt","202310",3.22,3.22
"364",8233515,"Male","Not First Generation College Stdnt","202320",3.02,3.18
"365",8233515,"Male","Not First Generation College Stdnt","202410",3.62,3.25
"366",8233515,"Male","Not First Generation College Stdnt","202420",3.2,3.24
"367",8233844,"Male","Not First Generation College Stdnt","202110",3.46,3.46
"368",8233844,"Male","Not First Generation College Stdnt","202120",3.82,3.66
"369",8233844,"Male","Not First Generation College Stdnt","202210",3.48,3.59
"370",8233844,"Male","Not First Generation College Stdnt","202220",3.56,3.58
"371",8233844,"Male","Not First Generation College Stdnt","202310",3.54,3.57
"372",8233844,"Male","Not First Generation College Stdnt","202320",3,3.48
"373",8233844,"Male","Not First Generation College Stdnt","202410",3.36,3.46
"374",8233844,"Male","Not First Generation College Stdnt","202420",3.02,3.41
"375",8234195,"Male","First Generation College Stdnt","202110",3.42,3.42
"376",8234195,"Male","First Generation College Stdnt","202120",3.14,3.24
"377",8234195,"Male","First Generation College Stdnt","202210",2.6,3.02
"378",8234195,"Male","First Generation College Stdnt","202220",2.74,2.93
"379",8234195,"Male","First Generation College Stdnt","202310",2.72,2.88
"380",8234195,"Male","First Generation College Stdnt","202320",3.28,2.96
"381",8234195,"Male","First Generation College Stdnt","202410",3.22,3
"382",8234195,"Male","First Generation College Stdnt","202420",3.24,3.03
"383",8235359,"Female","Not First Generation College Stdnt","202110",3.71,3.71
"384",8235359,"Female","Not First Generation College Stdnt","202120",3.65,3.68
"385",8235359,"Female","Not First Generation College Stdnt","202210",3.8,3.72
"386",8235359,"Female","Not First Generation College Stdnt","202220",3.74,3.72
"387",8235359,"Female","Not First Generation College Stdnt","202310",3.62,3.7
"388",8235359,"Female","Not First Generation College Stdnt","202320",3.5,3.67
"389",8235359,"Female","Not First Generation College Stdnt","202410",3.4,3.62
"390",8235359,"Female","Not First Generation College Stdnt","202420",3.75,3.63
"391",8235554,"Male","Not First Generation College Stdnt","202110",3.61,3.61
"392",8235554,"Male","Not First Generation College Stdnt","202120",3.37,3.48
"393",8235554,"Male","Not First Generation College Stdnt","202210",2.94,3.28
"394",8235554,"Male","Not First Generation College Stdnt","202220",3.23,3.27
"395",8235554,"Male","Not First Generation College Stdnt","202310",3.14,3.24
"396",8235554,"Male","Not First Generation College Stdnt","202320",NA,3.24
"397",8235554,"Male","Not First Generation College Stdnt","202410",2.88,3.16
"398",8235554,"Male","Not First Generation College Stdnt","202420",3.08,3.14
