"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"608",8246329,"202220",17,17,76
"609",8246329,"202310",16,16,92
"610",8246329,"202320",15,15,107
"611",8246329,"202410",15,15,122
"612",8246329,"202420",12,12,134
"613",8246688,"202110",15,15,15
"614",8246688,"202120",15,15,30
"615",8246688,"202210",18,18,48
"616",8246688,"202215",3,3,51
"617",8246688,"202220",15,15,66
"618",8246688,"202230",4,4,70
"619",8246688,"202310",15,15,85
"620",8246688,"202315",3,3,88
"621",8246688,"202320",15,15,103
"622",8246688,"202410",17,17,120
"623",8246688,"202415",4,4,124
"624",8246688,"202420",12,12,136
"625",8246861,"202110",17,60,60
"626",8246861,"202120",14,14,74
"627",8246861,"202210",15,15,89
"628",8246861,"202220",16,16,105
"629",8246861,"202310",13,13,118
"630",8246861,"202320",15,15,133
"631",8246861,"202410",15,15,148
"632",8246861,"202420",12,12,160
"633",8246891,"202110",15,32,32
"634",8246891,"202120",15,15,47
"635",8246891,"202210",16,16,63
"636",8246891,"202220",15,15,78
"637",8246891,"202310",12,12,90
"638",8246891,"202315",3,3,93
"639",8246891,"202320",12,12,105
"640",8246891,"202410",15,15,120
"641",8246891,"202420",12,12,132
"642",8249408,"202110",15,37,37
"643",8249408,"202120",18,18,55
"644",8249408,"202210",15,15,70
"645",8249408,"202220",15,15,85
"646",8249408,"202310",18,18,103
"647",8249408,"202320",0,16,119
"648",8249408,"202410",16,16,135
"649",8249408,"202415",3,3,138
"650",8249408,"202420",15,15,153
"651",8250961,"202030",3,3,3
"652",8250961,"202110",16,24,27
"653",8250961,"202120",14,14,41
"654",8250961,"202210",15,15,56
"655",8250961,"202220",16,16,72
"656",8250961,"202310",15,15,87
"657",8250961,"202320",15,15,102
"658",8250961,"202410",15,15,117
"659",8250961,"202420",12,12,129
"660",8251247,"202110",15,70,70
"661",8251247,"202120",15,15,85
"662",8251247,"202210",17,17,102
"663",8251247,"202220",15,15,117
"664",8251247,"202230",6,6,123
"665",8251247,"202310",17,17,140
"666",8251247,"202315",3,3,143
"667",8251247,"202320",15,15,158
"668",8251247,"202410",14,14,172
"669",8251247,"202415",3,3,175
"670",8251247,"202420",14,14,189
"671",8260919,"202110",16,36,36
"672",8260919,"202120",16,16,52
"673",8260919,"202130",3,3,55
"674",8260919,"202210",15,15,70
"675",8260919,"202220",15,15,85
"676",8260919,"202230",9,9,94
"677",8260919,"202310",15,15,109
