"","Student ID","Course","Term Code","Earned Academic Credit","Final Letter Grade Group","Final Letter Grade","GPA Quality Points"
"409",8341458,"CSE148","201920","Y","A","A-",3.7
"410",8341458,"ECO201","201910","Y","B","B",3
"411",8341458,"ISA235","202010","Y","B","B",3
"412",8341458,"MGT291","202020","Y","B","B+",3.3
"413",8341263,"ACC221","202010","Y","C","C",2
"414",8341263,"BUS104","201920","Y","B","B+",3.3
"415",8341263,"CSE148","201910","Y","B","B-",2.7
"416",8341263,"ECO201","202010","Y","C","C",2
"417",8341263,"ISA235","202010","Y","B","B",3
"418",8338465,"ACC221","201920","Y","D","D+",1.3
"419",8338465,"BUS104","201910","Y","B","B+",3.3
"420",8338465,"CSE148","201920","Y","A","A",4
"421",8338465,"ECO201","202010","Y","C","C-",1.7
"422",8338465,"FIN301","202110","Y","B","B",3
"423",8338465,"ISA125","202110","Y","A","A-",3.7
"424",8338465,"ISA225","202120","Y","B","B+",3.3
"425",8338465,"ISA235","202020","Y","A","A",4
"426",8338465,"MGT291","202010","Y","A","A",4
"427",8336795,"ACC221","202010","Y","B","B-",2.7
"428",8336795,"BUS104","201920","Y","A","A-",3.7
"429",8336795,"CSE148","201910","Y","B","B",3
"430",8336795,"ECO201","202010","Y","B","B-",2.7
"431",8336795,"FIN301","202020","Y","C","C+",2.3
"432",8336795,"ISA235","202110","Y","B","B+",3.3
"433",8336795,"MGT291","202120","Y","A","A-",3.7
"434",8336766,"ACC221","202010","Y","A","A-",3.7
"435",8336766,"BUS104","201910","Y","A","A+",4
"436",8336766,"CSE148","201920","Y","A","A",4
"437",8336766,"ECO201","202010","Y","A","A",4
"438",8336766,"FIN301","202210","Y","A","A",4
"439",8336766,"ISA235","202010","Y","A","A-",3.7
"440",8336766,"MGT291","202010","Y","A","A",4
"441",8336766,"MTH151","201910","Y","A","A",4
"442",8336655,"BUS104","201920","Y","C","C+",2.3
"443",8336655,"CSE148","201910","Y","B","B",3
"444",8336655,"ECO201","202010","Y","C","C",2
"445",8336655,"MGT291","202020","Y","B","B+",3.3
"446",8336578,"ACC221","201920","Y","D","D",1
"447",8336578,"BUS104","201910","Y","B","B-",2.7
"448",8336578,"CSE148","201920","Y","B","B",3
