"","Student.ID","Cohort.Term","Term.Code","Major.1","Major.2","Major.3","Term.Code.Graduated","Graduated","Cum.Credit.Hours","Cum.UG.Crs.GPA"
"336",8226515,202110,202410,"IS Major","None","None",NA,NA,73,3.55
"337",8226515,202110,202420,"CEC","None","None",NA,NA,90,3.43
"338",8226515,202110,202510,"CEC","None","None",NA,NA,97,3.24
"339",8226542,202110,202110,"Business Economics","None","None",202420,1,35,3.54
"340",8226542,202110,202120,"IS Major","None","None",202420,1,50,3.6
"341",8226542,202110,202210,"IS Major","None","None",202420,1,65,3.63
"342",8226542,202110,202220,"IS Major","None","None",202420,1,81,3.61
"343",8226542,202110,202310,"Cybersecurity Mgt Major","None","None",202420,1,96,3.66
"344",8226542,202110,202320,"Cybersecurity Mgt Major","None","None",202420,1,111,3.7
"345",8226542,202110,202410,"Cybersecurity Mgt Major","None","None",202420,1,123,3.65
"346",8226542,202110,202420,"Cybersecurity Mgt Major","None","None",202420,1,138,3.63
"347",8230669,202110,202110,"Accountancy","None","None",202420,1,16,4
"348",8230669,202110,202110,"Accountancy","None","None",202420,1,16,4
"349",8230669,202110,202120,"Accountancy","None","None",202420,1,31,3.91
"350",8230669,202110,202120,"Accountancy","None","None",202420,1,31,3.91
"351",8230669,202110,202210,"Accountancy","None","None",202420,1,47,3.9
"352",8230669,202110,202210,"Accountancy","None","None",202420,1,47,3.9
"353",8230669,202110,202220,"Accountancy","None","None",202420,1,62,3.9
"354",8230669,202110,202220,"Accountancy","None","None",202420,1,62,3.9
"355",8230669,202110,202310,"Accountancy","IS Major","None",202420,1,91,3.88
"356",8230669,202110,202310,"Accountancy","IS Major","None",202420,1,91,3.88
"357",8230669,202110,202320,"Accountancy","IS Major","None",202420,1,109,3.88
"358",8230669,202110,202320,"Accountancy","IS Major","None",202420,1,109,3.88
"359",8230669,202110,202410,"Accountancy","IS Major","None",202420,1,133,3.9
"360",8230669,202110,202410,"Accountancy","IS Major","None",202420,1,133,3.9
"361",8230669,202110,202420,"Accountancy","IS Major","None",202420,1,152,3.91
"362",8230669,202110,202420,"Accountancy","IS Major","None",202420,1,152,3.91
"363",8230735,202110,202110,"IS Major","None","None",202420,1,18,4
"364",8230735,202110,202120,"IS Major","None","None",202420,1,38,3.81
"365",8230735,202110,202210,"IS Major","None","None",202420,1,58,3.64
"366",8230735,202110,202220,"IS Major","None","None",202420,1,74,3.62
"367",8230735,202110,202310,"BA Major","IS Major","None",202420,1,92,3.57
