"","Student ID","Term Code","Term UG MU Earned CrHr","Term UG Overall Earned CrHr (MU and Non-MU)","Cum UG Overall Earned CrHr (MU and Non-MU)"
"642",8134369,"202420",15,15,67
"643",8134369,"202430",0,0,67
"644",8134369,"202510",NA,NA,67
"645",8135649,"202230",4,4,4
"646",8135649,"202310",16,16,20
"647",8135649,"202320",17,17,37
"648",8135649,"202410",15,15,52
"649",8136759,"202310",17,36,36
"650",8136759,"202320",19,19,55
"651",8136759,"202410",15,15,70
"652",8136759,"202420",15,15,85
"653",8136759,"202510",NA,NA,85
"654",8136759,"202515",NA,NA,85
"655",8136759,"202520",NA,NA,85
"656",8136901,"202310",15,19,19
"657",8136901,"202320",14,14,33
"658",8136901,"202410",12,12,45
"659",8136901,"202420",15,15,60
"660",8136901,"202510",NA,NA,60
"661",8137090,"202310",15,15,15
"662",8137090,"202320",15,15,30
"663",8137163,"202310",15,28,28
"664",8137163,"202320",14,14,42
"665",8137163,"202410",15,15,57
"666",8137163,"202420",15,15,72
"667",8137163,"202510",NA,NA,72
"668",8137508,"202310",15,15,15
"669",8137508,"202320",14,14,29
"670",8137508,"202330",0,3.5,32.5
"671",8137508,"202410",16,16,48.5
"672",8137508,"202415",3,3,51.5
"673",8137508,"202420",15,15,66.5
"674",8137508,"202510",NA,NA,66.5
"675",8137508,"202515",NA,NA,66.5
"676",8137508,"202520",NA,NA,66.5
"677",8137586,"202310",15,41,41
"678",8137586,"202320",15,15,56
"679",8137586,"202410",15,15,71
"680",8137586,"202420",15,15,86
"681",8137586,"202510",NA,NA,86
"682",8139289,"202310",15,32,32
"683",8139289,"202320",18,18,50
"684",8139289,"202410",16,16,66
"685",8139289,"202420",15,15,81
"686",8139289,"202430",0,0,81
"687",8139289,"202510",NA,NA,81
"688",8139377,"202310",16,16,16
"689",8139377,"202320",15,15,31
"690",8139377,"202410",16,16,47
"691",8139377,"202420",15,15,62
"692",8139377,"202510",NA,NA,62
"693",8139377,"202515",NA,NA,62
"694",8139377,"202520",NA,NA,62
"695",8139622,"202310",13,13,13
"696",8140179,"202310",14,31,31
"697",8140179,"202315",3,3,34
"698",8140179,"202320",14,14,48
"699",8140179,"202410",15,15,63
"700",8140179,"202415",3,3,66
"701",8140179,"202420",15,15,81
"702",8140179,"202510",NA,NA,81
"703",8140245,"202310",16,35,35
"704",8140245,"202320",17,17,52
"705",8140245,"202410",15,15,67
"706",8140245,"202415",3,3,70
"707",8140245,"202420",15,15,85
"708",8140245,"202510",NA,NA,85
"709",8140245,"202520",NA,NA,85
"710",8141118,"202310",15,18,18
"711",8141118,"202320",15,15,33
"712",8141118,"202410",15,15,48
"713",8141118,"202420",17,17,65
"714",8141118,"202510",NA,NA,65
"715",8141468,"202310",15,15,15
"716",8141468,"202320",14,14,29
"717",8141468,"202410",16,16,45
"718",8141468,"202415",6,6,51
"719",8141468,"202420",15,15,66
"720",8141468,"202510",NA,NA,66
"721",8141468,"202520",NA,NA,66
"722",8141755,"202310",17,17,17
"723",8141755,"202320",14,14,31
"724",8141755,"202410",18,18,49
"725",8141755,"202420",15,15,64
"726",8141755,"202510",NA,NA,64
"727",8142155,"202310",17,56,56
"728",8142155,"202320",16,16,72
"729",8142155,"202410",15,15,87
"730",8142155,"202420",15,15,102
"731",8142155,"202510",NA,NA,102
"732",8142374,"202310",15,21,21
"733",8142374,"202320",13,13,34
"734",8142374,"202410",15,15,49
"735",8142374,"202420",16,16,65
"736",8142374,"202510",NA,NA,65
"737",8142423,"202310",15,30,30
"738",8142423,"202315",4,4,34
"739",8142423,"202320",15,15,49
"740",8142423,"202410",18,18,67
"741",8142423,"202420",17,17,84
"742",8142423,"202430",0,3,NA
"743",8142423,"202510",NA,NA,87
"744",8142423,"202520",NA,NA,87
"745",8142526,"202310",13,74,74
"746",8142526,"202320",12,12,86
"747",8142526,"202410",12,12,98
"748",8142526,"202420",12,12,110
"749",8142526,"202510",NA,NA,110
"750",8142886,"202310",16,28,28
"751",8142886,"202320",15,15,43
"752",8142886,"202410",16,16,59
"753",8142886,"202420",15,15,74
"754",8142886,"202510",NA,NA,74
"755",8142886,"202515",NA,NA,74
"756",8143408,"202310",17,23,23
"757",8143408,"202315",3,3,26
"758",8143408,"202320",17,17,43
"759",8143408,"202410",16,16,59
"760",8143408,"202420",15,15,74
"761",8143408,"202510",NA,NA,74
"762",8143408,"202515",NA,NA,74
"763",8143418,"202310",15,47,47
"764",8143418,"202320",12,12,59
"765",8143418,"202330",0,0,59
"766",8143418,"202410",15,15,74
"767",8143418,"202420",15,15,89
"768",8143420,"202310",16,39,39
"769",8143420,"202320",18,18,57
